# uzlezz-bench v1
# scenario=burst
# loading=async
# vsync=0
# warmup_frames=300
# batch_textures=12
# batch_failed=0
# batch_from_cache=0
# batch_bytes=16838877
# batch_ms=119.166
# complete=1
# exit_during_load=0
# upload_budget_ms=4
frame,phase,frame_ms,main_load_ms
314,load,0.6016,0.0000
315,load,0.5260,0.0000
316,load,0.6754,0.0000
317,load,0.9862,0.0000
318,load,6.5847,5.7383
319,load,0.4794,0.0000
320,load,0.4990,0.0000
321,load,0.4744,0.0000
322,load,0.5966,0.0000
323,load,0.5501,0.0000
324,load,0.5074,0.0000
325,load,0.5075,0.0000
326,load,0.7137,0.0000
327,load,5.6985,5.0095
328,load,0.7165,0.0000
329,load,0.4358,0.0000
330,load,0.5029,0.0000
331,load,0.5835,0.0000
332,load,0.4725,0.0000
333,load,1.0102,0.0000
334,load,0.5745,0.0000
335,load,0.4647,0.0000
336,load,5.7157,5.0399
337,load,0.8436,0.0000
338,load,0.9717,0.0000
339,load,0.7630,0.0000
340,load,0.4553,0.0000
341,load,0.9899,0.0000
342,load,0.8635,0.0000
343,load,0.7568,0.0000
344,load,0.8044,0.0000
345,load,1.2376,0.0000
346,load,0.6457,0.0000
347,load,0.6443,0.0000
348,load,0.6242,0.0000
349,load,5.2068,4.4677
350,load,0.4316,0.0000
351,load,0.8037,0.0000
352,load,0.4492,0.0000
353,load,0.4638,0.0000
354,load,0.4833,0.0000
355,load,0.4586,0.0000
356,load,0.4874,0.0000
357,load,0.4605,0.0000
358,load,0.4438,0.0000
359,load,0.4326,0.0000
360,load,0.4253,0.0000
361,load,0.6311,0.0000
362,load,0.5059,0.0000
363,load,0.4239,0.0000
364,load,0.4188,0.0000
365,load,0.4207,0.0000
366,load,0.5578,0.0000
367,load,0.5655,0.0000
368,load,0.4844,0.0000
369,load,0.4335,0.0000
370,load,0.5688,0.0000
371,load,0.5519,0.0000
372,load,0.5203,0.0000
373,load,1.0036,0.0000
374,load,0.4300,0.0000
375,load,0.4134,0.0000
376,load,0.4110,0.0000
377,load,0.4353,0.0000
378,load,0.7219,0.0000
379,load,0.6038,0.0000
380,load,0.5908,0.0000
381,load,0.5207,0.0000
382,load,0.4369,0.0000
383,load,0.4191,0.0000
384,load,0.4224,0.0000
385,load,0.4464,0.0000
386,load,0.7535,0.0000
387,load,0.6098,0.0000
388,load,0.4821,0.0000
389,load,0.4165,0.0000
390,load,0.4840,0.0000
391,load,0.4853,0.0000
392,load,1.3648,0.0000
393,load,0.5029,0.0000
394,load,0.7799,0.0000
395,load,0.4631,0.0000
396,load,0.4848,0.0000
397,load,0.4598,0.0000
398,load,0.5177,0.0000
399,load,0.4117,0.0000
400,load,0.4177,0.0000
401,load,0.4142,0.0000
402,load,0.4395,0.0000
403,load,0.5333,0.0000
404,load,0.7905,0.0000
405,load,0.5636,0.0000
406,load,0.6995,0.0000
407,load,0.6502,0.0000
408,load,0.9446,0.0000
409,load,0.8379,0.0000
410,load,0.4319,0.0000
411,load,0.5672,0.0000
412,load,0.4686,0.0000
413,load,0.5210,0.0000
